"ch","part","comp","whole","idx","len","x","y","w","h"
"棰","0","木","柄","0","4","18","14","79","231"
"棰","1","垂","錘","8","9","94","20","139","220"
"棱","0","木","機","0","4","14","12","84","236"
"棱","1","夌","綾","6","8","95","20","146","232"
"棼","0","林","琳","4","8","23","17","219","104"
"棼","1","分","忿","0","4","17","112","226","129"
"椇","0","木","休","2","4","8","12","88","231"
"椇","1","具","真","2","8","72","29","181","220"
"椏","0","木","櫝","0","4","18","14","79","231"
"椏","1","亞","啞","3","8","87","40","155","193"
"椑","0","木","棚","0","4","15","22","86","217"
"椑","1","卑","裨","5","8","86","20","154","227"
"椪","0","木","機","0","4","8","14","86","231"
"椪","1","並","並","0","0","98","10","139","220"
"椽","0","木","樓","0","4","16","14","79","231"
"椽","1","彖","蠡","0","9","86","6","149","239"
"椿","0","木","樣","0","4","15","22","86","219"
"椿","1","春","春","0","0","78","20","163","220"
"楂","0","木","機","0","4","16","14","79","231"
"楂","1","查","查","0","0","81","30","168","210"
"楣","0","木","機","0","4","18","18","81","218"
"楣","1","眉","眉","0","0","95","20","141","221"
"榱","0","木","檄","0","4","18","14","79","231"
"榱","1","衰","衰","0","0","91","13","156","228"
"榹","0","木","機","0","4","8","11","79","231"
"榹","1","虒","遞","3","10","77","18","167","226"
"榼","0","木","榭","0","4","22","26","79","206"
"榼","1","盍","嗑","3","10","85","25","159","208"
"槃","0","般","盤","0","10","27","17","205","132"
"槃","1","木","呆","3","4","9","151","226","92"
"槤","0","木","機","0","4","4","14","79","231"
"槤","1","連","連","0","0","78","24","161","220"
"槥","0","木","機","0","4","14","13","79","231"
"槥","1","彗","彗","0","0","92","18","157","222"
"槧","0","斬","塹","0","11","19","19","217","135"
"槧","1","木","桑","6","4","18","151","217","99"
"槫","0","木","木","0","0","8","11","79","231"
"槫","1","專","專","0","0","85","19","161","226"
"槿","0","木","機","0","4","14","14","79","231"
"槿","1","堇","謹","7","11","89","19","145","213"
"樗","0","木","機","0","4","11","7","79","231"
"樗","1","雩","雩","0","0","101","22","144","231"
"樨","0","木","機","0","4","10","7","79","231"
"樨","1","犀","犀","0","0","79","17","160","229"
"橑","0","木","樓","0","4","10","16","80","224"
"橑","1","尞","嘹","3","12","76","19","170","221"
"檯","0","木","機","0","4","4","8","85","236"
"檯","1","臺","臺","0","0","83","11","158","226"
"櫞","0","木","柄","0","4","4","8","85","236"
"櫞","1","緣","緣","0","0","83","14","158","230"
"櫟","0","木","機","0","4","9","26","74","208"
"櫟","1","樂","藥","3","15","80","27","166","211"
"櫨","0","木","櫝","0","4","4","8","85","236"
"櫨","1","盧","蘆","3","16","81","3","158","239"
"櫪","0","木","機","0","4","4","8","85","236"
"櫪","1","歷","歷","0","0","78","21","173","221"
"櫫","0","豬","豬","0","0","22","16","231","140"
"櫫","1","木","梨","7","4","15","153","212","99"
"櫸","0","木","柄","0","4","4","8","85","236"
"櫸","1","舉","舉","0","0","77","15","164","230"
"櫺","0","木","機","0","4","4","8","85","236"
"櫺","1","霝","靈","0","17","85","20","158","212"
"欂","0","木","櫝","0","4","4","8","85","236"
"欂","1","薄","薄","0","0","79","15","164","230"
"欬","0","亥","咳","3","6","18","17","109","214"
"欬","1","欠","吹","3","4","110","13","119","231"
"歃","0","臿","插","3","9","10","23","120","194"
"歃","1","欠","坎","3","4","105","16","144","227"
"歆","0","音","響","11","9","13","21","113","207"
"歆","1","欠","飲","8","4","119","23","121","222"
"歛","0","僉","險","2","13","9","10","140","231"
"歛","1","欠","飲","8","4","129","25","111","219"
"殂","0","歹","死","0","4","13","33","99","203"
"殂","1","且","姐","3","5","88","29","156","200"
"殄","0","歹","殤","0","4","8","32","99","203"
"殄","1","㐱","參","6","5","86","19","156","228"
"殍","0","歹","殤","0","4","13","26","105","212"
"殍","1","孚","俘","2","7","97","20","148","217"
"殛","0","歹","死","0","4","1","25","97","215"
"殛","1","亟","極","4","9","93","27","157","222"
"殞","0","歹","死","0","4","4","25","119","203"
"殞","1","員","圓","3","10","92","15","153","232"
"殪","0","歹","殘","0","4","1","44","99","203"
"殪","1","壹","噎","3","12","98","26","140","218"
"殫","0","歹","死","0","4","1","37","111","203"
"殫","1","單","單","0","0","106","14","135","235"
"殭","0","歹","死","0","4","1","36","111","203"
"殭","1","畺","薑","3","13","97","28","140","209"
"殳","0","几","凡","0","2","27","18","198","94"
"殳","1","又","燮","15","2","24","126","199","120"
"毖","0","比","批","3","4","43","24","192","104"
"毖","1","必","祕","4","5","4","139","237","108"
"毬","0","毛","毯","0","4","3","19","240","228"
"毬","1","求","求","0","0","101","32","140","178"
"氅","0","敞","敞","0","0","17","16","216","121"
"氅","1","毛","毛","0","0","16","144","214","103"
"氈","0","亶","羶","6","13","5","3","132","236"
"氈","1","毛","耗","6","4","128","28","111","223"
"氡","0","气","氧","0","4","17","5","219","235"
"氡","1","冬","冬","0","0","22","106","151","137"
"氰","0","气","氤","0","4","10","7","215","234"
"氰","1","青","清","3","8","33","101","149","137"
"氹","0","乙","乙","0","0","11","36","134","211"
"氹","1","水","冰","2","4","97","15","136","178"
"汆","0","入","入","0","0","16","11","227","100"
"汆","1","水","水","0","0","17","97","212","140"
"汛","0","氵","衍","6","3","14","22","65","203"
"汛","1","卂","訊","7","3","78","37","158","197"
"汜","0","氵","泳","0","3","26","24","55","215"
"汜","1","巳","包","2","3","98","24","142","218"
"汩","0","氵","衍","6","3","14","22","65","203"
"汩","1","曰","曰","0","0","102","35","127","210"
"汴","0","氵","衍","6","3","14","22","65","203"
"汴","1","卞","卞","0","0","85","37","145","207"
"汶","0","氵","泗","0","3","21","16","49","220"
"汶","1","文","蚊","6","4","81","21","174","222"
"沂","0","氵","泡","0","3","29","23","36","207"
"沂","1","斤","斫","5","4","75","10","162","242"
"沆","0","氵","潔","0","3","14","22","65","203"
"沆","1","亢","骯","9","4","82","17","158","224"
"沏","0","氵","泗","0","3","14","22","65","203"
"沏","1","切","切","0","0","75","33","158","211"
"沓","0","水","水","0","0","10","8","229","136"
"沓","1","日","暹","3","4","56","139","141","103"
"沚","0","氵","衍","6","3","14","22","65","203"
"沚","1","止","祉","4","4","67","25","175","202"
"泠","0","氵","泳","0","3","14","22","68","203"
"泠","1","令","冷","2","5","70","11","162","227"
"泫","0","氵","衍","6","3","18","21","67","212"
"泫","1","玄","玄","0","0","86","18","161","214"
"泮","0","氵","瀆","0","3","14","22","60","203"
"泮","1","半","胖","6","5","76","17","169","222"
"泯","0","氵","泳","0","3","18","13","70","225"
"泯","1","民","民","0","0","100","21","139","219"
"泵","0","石","砥","0","5","24","25","191","88"
"泵","1","水","水","0","0","22","115","207","124"
"洄","0","氵","瀆","0","3","13","22","65","222"
"洄","1","回","茴","3","6","94","28","131","215"
"洎","0","氵","衍","6","3","27","24","48","206"
"洎","1","自","臭","0","6","113","26","115","210"
"洒","0","氵","衍","6","3","12","14","72","221"
"洒","1","西","迺","3","6","82","33","160","210"
"洩","0","氵","衍","6","3","13","22","65","222"
"洩","1","曳","曳","0","0","82","20","158","215"
"洮","0","氵","渲","0","3","13","22","65","222"
"洮","1","兆","桃","4","6","68","20","163","231"
"洳","0","氵","淑","0","3","14","28","68","198"
"洳","1","如","如","0","0","75","21","162","213"
"洵","0","氵","衍","6","3","25","20","41","218"
"洵","1","旬","絢","6","6","73","24","165","215"
"浣","0","氵","瀆","0","3","13","22","65","222"
"浣","1","完","院","2","7","79","18","158","228"
"浹","0","氵","潔","0","3","17","22","59","214"
"浹","1","夾","莢","3","7","65","19","164","218"
"涂","0","氵","渲","0","3","14","26","56","198"
"涂","1","余","余","0","0","62","18","164","222"
"涔","0","氵","渲","0","3","13","22","65","222"
"涔","1","岑","岑","0","0","66","20","167","218"
"涪","0","氵","渺","0","3","12","26","61","202"
"涪","1","咅","培","3","8","76","21","172","215"
"涿","0","氵","潦","0","3","12","15","56","226"
"涿","1","豖","啄","3","8","69","28","172","215"
"淀","0","氵","衍","6","3","12","15","56","226"
"淀","1","定","綻","6","8","65","16","172","229"
"淖","0","氵","瀆","0","3","12","15","56","226"
"淖","1","卓","悼","3","8","64","13","172","229"
"淝","0","氵","滲","0","3","12","15","56","226"
"淝","1","肥","肥","0","0","83","20","154","229"
"淦","0","氵","泳","0","3","14","22","68","203"
"淦","1","金","金","0","0","77","26","162","206"
"淬","0","氵","瀆","0","3","12","15","56","226"
"淬","1","卒","卒","0","0","61","17","172","229"
"湄","0","氵","清","0","3","14","32","64","193"
"湄","1","眉","眉","0","0","70","29","169","210"
"溲","0","氵","衍","6","3","12","15","56","226"
"溲","1","叟","餿","8","10","67","20","172","224"
"溽","0","氵","渺","0","3","12","15","56","226"
"溽","1","辱","辱","0","0","63","24","180","215"
"滫","0","氵","渲","0","3","12","15","56","226"
"滫","1","脩","脩","0","0","55","23","183","221"
"滷","0","氵","泅","0","3","20","32","58","203"
"滷","1","鹵","鹼","0","11","85","22","149","223"
"滸","0","氵","渲","0","3","12","15","56","226"
"滸","1","許","許","0","0","75","23","172","213"
"漉","0","氵","潔","0","3","12","15","56","226"
"漉","1","鹿","麝","0","11","67","16","172","227"
"漚","0","氵","瀆","0","3","12","15","56","226"
"漚","1","區","區","0","0","79","29","172","204"
"潁","0","匕","叱","3","2","29","26","88","75"
"潁","1","水","水","0","0","5","108","123","127"
"潁","2","頁","顧","12","9","121","26","128","211"
"潟","0","氵","衍","6","3","23","26","45","202"
"潟","1","舄","寫","3","11","86","22","151","215"
"潢","0","氵","泅","0","3","14","26","65","206"
"潢","1","黃","橫","4","12","78","19","170","213"
"潯","0","氵","瀆","0","3","12","15","56","226"
"潯","1","尋","尋","0","0","65","22","180","220"
"潲","0","氵","泅","0","3","12","15","56","226"
"潲","1","稍","稍","0","0","64","29","172","213"
"澇","0","氵","瀆","0","3","12","15","56","226"
"澇","1","勞","嘮","3","12","73","15","172","228"
"瀲","0","氵","泳","0","3","12","15","56","226"
"瀲","1","斂","斂","0","0","66","12","172","228"
"灕","0","氵","泳","0","3","5","15","56","226"
"灕","1","離","離","0","0","57","25","189","219"
"灩","0","氵","衍","6","3","1","17","56","226"
"灩","1","豔","豔","0","0","55","14","191","220"
"炷","0","火","爛","0","4","10","27","91","215"
"炷","1","主","主","0","0","101","12","131","219"
"烝","0","丞","丞","0","0","30","26","193","178"
"烝","1","灬","熬","10","4","16","199","221","45"
"烯","0","火","燉","0","4","11","18","78","226"
"烯","1","希","稀","5","7","96","14","136","226"
"烷","0","火","燧","0","4","17","18","78","226"
"烷","1","完","院","2","7","96","19","136","226"
"焜","0","火","爛","0","4","17","18","78","226"
"焜","1","昆","混","3","8","114","19","136","226"
"煨","0","火","爛","0","4","10","17","81","213"
"煨","1","畏","喂","3","9","82","26","166","213"
"煲","0","保","保","0","0","14","19","222","129"
"煲","1","火","炳","0","4","22","148","209","99"
"煸","0","火","爛","0","4","19","20","72","210"
"煸","1","扁","扁","0","0","89","22","142","221"
"熠","0","火","火","0","0","14","20","78","226"
"熠","1","習","習","0","0","94","27","136","212"
"燁","0","火","火","0","0","5","18","78","226"
"燁","1","華","嘩","3","12","84","18","151","232"
"燠","0","火","炳","0","4","8","18","78","226"
"燠","1","奧","噢","3","13","77","18","169","226"
"燼","0","火","火","0","0","3","15","78","226"
"燼","1","盡","盡","0","0","74","22","169","216"
"燿","0","火","炳","0","4","7","17","78","226"
"燿","1","翟","戳","0","14","92","23","146","214"
"牁","0","爿","寤","3","4","15","20","71","217"
"牁","1","可","苛","3","5","99","39","144","196"
"牂","0","爿","戕","0","4","20","17","69","221"
"牂","1","羊","羊","0","0","108","23","118","217"
"犗","0","牜","牯","0","4","4","14","96","230"
"犗","1","害","豁","0","10","89","18","158","222"
"犙","0","牜","牴","0","4","4","14","96","230"
"犙","1","參","慘","3","11","85","5","160","241"
"犰","0","犭","獰","0","3","4","14","96","230"
"犰","1","九","旭","0","2","80","16","145","222"
"狁","0","犭","狎","0","3","7","20","96","230"
"狁","1","允","吮","3","4","86","12","154","226"
"狒","0","犭","狎","0","3","8","21","96","230"
"狒","1","弗","費","0","5","88","9","145","237"
"狚","0","犭","狗","0","3","13","21","96","221"
"狚","1","旦","旦","0","0","86","37","160","201"
"狳","0","犭","狎","0","3","2","23","96","230"
"狳","1","余","除","2","7","78","5","161","237"
"猗","0","犭","獰","0","3","7","32","100","208"
"猗","1","奇","奇","0","0","91","22","144","222"
"猝","0","犭","狎","0","3","1","22","96","230"
"猝","1","卒","卒","0","0","83","9","152","245"
"猢","0","犭","狙","0","3","9","21","96","220"
"猢","1","胡","葫","3","9","86","25","145","223"
"猻","0","犭","狎","0","3","1","25","87","230"
"猻","1","孫","孫","0","0","77","13","168","237"
"獒","0","敖","敖","0","0","18","19","215","120"
"獒","1","犬","莽","3","4","8","149","226","91"
"獠","0","犭","狎","0","3","1","25","96","230"
"獠","1","尞","嘹","3","12","76","23","172","225"
"獦","0","犭","猛","0","3","5","17","96","230"
"獦","1","葛","葛","0","0","79","14","166","237"
"獪","0","犭","獰","0","3","3","24","96","216"
"獪","1","會","會","0","0","78","15","160","237"
"獫","0","犭","狎","0","3","1","25","96","230"
"獫","1","僉","險","2","13","82","7","152","237"
"獼","0","犭","狎","0","3","1","25","83","230"
"獼","1","彌","瀰","3","17","80","32","164","217"
"玁","0","犭","狎","0","3","1","23","80","230"
"玁","1","嚴","嚴","0","0","63","22","184","227"
"玕","0","王","噩","0","4","9","34","92","168"
"玕","1","干","干","0","0","102","39","142","206"
"玦","0","王","噩","0","4","6","45","92","146"
"玦","1","夬","缺","6","4","78","11","158","219"
"璀","0","王","王","0","0","4","43","92","156"
"璀","1","崔","崔","0","0","84","19","149","221"
"璇","0","王","噩","0","4","4","42","71","138"
"璇","1","旋","旋","0","0","60","9","187","242"
"璞","0","王","噩","0","4","1","42","92","156"
"璞","1","菐","噗","3","12","82","15","149","221"
"璨","0","王","王","0","0","4","43","92","156"
"璨","1","粲","燦","4","13","89","19","149","221"
"璫","0","王","噩","0","4","8","45","92","156"
"璫","1","當","鐺","8","13","96","20","140","221"
"璵","0","王","噩","0","4","4","43","92","156"
"璵","1","與","與","0","0","79","14","159","221"
"瓨","0","工","式","3","3","4","43","92","156"
"瓨","1","瓦","瓦","0","0","93","26","149","221"
"瓽","0","尚","嘗","0","8","27","16","201","109"
"瓽","1","瓦","甌","11","5","27","146","206","98"
"瓿","0","咅","菩","3","8","4","22","130","200"
"瓿","1","瓦","瓦","0","0","118","35","127","209"
"甂","0","扁","扁","0","0","8","13","113","221"
"甂","1","瓦","瓦","0","0","129","34","118","198"
"甑","0","曾","曾","0","0","21","20","104","206"
"甑","1","瓦","甕","13","5","123","39","113","204"
"甖","0","賏","嬰","0","14","18","22","214","115"
"甖","1","瓦","甄","9","5","18","149","218","93"
"甙","0","弋","代","2","3","24","4","228","230"
"甙","1","甘","坩","3","5","19","94","133","146"
"甪","0","丿","少","3","1","51","14","69","41"
"甪","1","用","用","0","0","22","53","202","192"
"甯","0","宀","宅","0","3","20","18","223","52"
"甯","1","心","慝","10","4","24","52","200","53"
"甯","2","用","佣","2","5","27","130","178","123"
"町","0","田","苗","3","5","26","26","77","171"
"町","1","丁","丁","0","0","117","36","124","199"
"畎","0","田","苗","3","5","22","31","77","179"
"畎","1","犬","伏","2","4","92","23","147","214"
"畛","0","田","苗","3","5","17","38","77","175"
"畛","1","㐱","趁","7","5","99","16","137","226"
"畷","0","田","苗","3","5","17","38","77","175"
"畷","1","叕","綴","6","8","97","25","137","226"
"疕","0","疒","疝","0","5","15","22","218","215"
"疕","1","匕","叱","3","2","105","64","128","173"
"疣","0","疒","癬","0","5","15","17","228","218"
"疣","1","尤","尤","0","0","57","67","164","169"
"疸","0","疒","癬","0","5","13","18","228","219"
"疸","1","旦","旦","0","0","62","81","181","158"
"疻","0","疒","疤","0","5","14","20","228","225"
"疻","1","只","只","0","0","72","84","155","159"
"痀","0","疒","疥","0","5","14","20","228","221"
"痀","1","句","苟","3","5","62","61","168","178"
"痂","0","疒","疤","0","5","16","22","228","218"
"痂","1","加","迦","3","5","64","64","174","178"
"痍","0","疒","癬","0","5","9","14","235","233"
"痍","1","夷","胰","6","6","53","51","179","195"
"痏","0","疒","疤","0","5","15","15","228","226"
"痏","1","有","有","0","0","57","55","176","178"
"痠","0","疒","癬","0","5","15","16","218","221"
"痠","1","夋","浚","3","7","63","58","157","182"
"痤","0","疒","癬","0","5","14","16","228","222"
"痤","1","坐","銼","8","7","61","55","176","178"
"痧","0","疒","疤","0","5","14","16","228","222"
"痧","1","沙","莎","3","7","68","60","176","178"
"痼","0","疒","疥","0","5","13","17","228","211"
"痼","1","固","固","0","0","82","75","146","173"
"痾","0","疒","癲","0","5","14","16","228","222"
"痾","1","阿","啊","3","8","79","68","167","175"
"瘈","0","疒","癬","0","5","13","17","228","211"
"瘈","1","契","契","0","0","61","60","173","188"
"瘕","0","疒","癲","0","5","15","16","218","221"
"瘕","1","叚","遐","3","9","74","69","157","170"
"瘚","0","疒","癬","0","5","15","16","218","221"
"瘚","1","欮","厥","2","10","68","65","175","182"
"瘢","0","疒","癲","0","5","15","11","233","235"
"瘢","1","般","磐","0","10","66","55","172","180"
"瘲","0","疒","癲","0","5","14","16","228","229"
"瘲","1","從","從","0","0","52","57","176","189"
"瘻","0","疒","癲","0","5","15","11","233","235"
"瘻","1","婁","髏","9","11","66","52","172","180"
"癃","0","疒","癩","0","5","15","16","218","221"
"癃","1","隆","隆","0","0","72","61","157","169"
"癇","0","疒","瘧","0","5","13","12","228","222"
"癇","1","閒","閒","0","0","78","67","152","169"
"癈","0","疒","癩","0","5","14","16","228","222"
"癈","1","發","潑","3","12","64","60","176","178"
"癉","0","疒","疝","0","5","13","17","228","211"
"癉","1","單","單","0","0","68","67","173","179"
"癟","0","疒","疝","0","5","7","10","238","226"
"癟","1","自","息","0","6","90","46","110","87"
"癟","2","侖","侖","0","0","49","133","185","102"
"癤","0","疒","瘧","0","5","4","10","233","235"
"癤","1","節","節","0","0","67","55","167","187"
"皁","0","白","迫","3","5","62","18","144","115"
"皁","1","十","卒","6","2","16","133","227","122"
"皙","0","析","淅","3","8","21","19","226","113"
"皙","1","白","皇","0","5","59","133","146","107"
"皤","0","白","迫","3","5","20","25","55","164"
"皤","1","番","蕃","3","12","79","23","166","209"
"皸","0","軍","軍","0","0","13","18","110","218"
"皸","1","皮","披","3","5","123","22","112","222"
"盅","0","中","衷","6","4","48","15","154","140"
"盅","1","皿","盍","5","5","17","160","227","74"
"盱","0","目","苜","3","5","27","29","56","189"
"盱","1","于","芋","3","3","98","34","148","207"
"眇","0","目","苜","3","5","22","36","56","181"
"眇","1","少","炒","4","4","85","23","152","232"
"眈","0","目","苜","3","5","20","32","49","185"
"眈","1","冘","耽","6","4","81","18","159","221"
"眥","0","此","柴","0","6","16","9","216","95"
"眥","1","目","苜","3","5","61","121","137","117"
"眵","0","目","苜","3","5","26","35","56","186"
"眵","1","多","多","0","0","91","12","149","225"
"睇","0","目","苜","3","5","26","35","56","186"
"睇","1","弟","銻","8","7","98","10","135","218"
"睚","0","目","苜","3","5","12","33","56","186"
"睚","1","厓","涯","3","8","83","26","161","218"
"瞅","0","目","苜","3","5","11","31","56","186"
"瞅","1","秋","秋","0","0","70","16","173","238"
"瞋","0","目","苜","3","5","20","31","56","186"
"瞋","1","真","慎","3","10","80","8","155","238"
"瞼","0","目","苜","3","5","13","37","56","186"
"瞼","1","僉","殮","4","13","78","9","155","232"
"矍","0","瞿","衢","6","18","15","20","226","149"
"矍","1","又","又","0","0","33","183","202","57"
"矬","0","矢","短","0","5","7","13","94","231"
"矬","1","坐","銼","8","7","105","9","127","230"
"矻","0","石","石","0","0","15","32","88","185"
"矻","1","乞","訖","7","3","96","15","140","225"
"砒","0","石","碼","0","5","15","32","88","185"
"砒","1","比","比","0","0","115","29","128","219"
"砢","0","石","石","0","0","15","32","88","185"
"砢","1","可","苛","3","5","90","31","152","207"
"硅","0","石","石","0","0","15","32","88","185"
"硅","1","圭","畦","5","6","98","24","140","207"
"硟","0","石","拓","3","5","15","32","88","185"
"硟","1","延","涎","3","8","95","18","140","227"
"碇","0","石","碾","0","5","15","32","88","185"
"碇","1","定","錠","8","8","94","18","140","218"
"碓","0","石","石","0","0","14","39","80","175"
"碓","1","隹","崔","3","8","98","19","142","220"
"碡","0","石","碗","0","5","15","32","88","185"
"碡","1","毒","毒","0","0","96","16","148","227"
"碴","0","石","石","0","0","1","41","88","185"
"碴","1","查","查","0","0","90","30","140","211"
"磑","0","石","石","0","0","15","32","88","185"
"磑","1","豈","皚","5","10","94","23","140","216"
"磣","0","石","石","0","0","1","32","88","185"
"磣","1","參","參","0","0","90","14","153","233"
"礜","0","與","舉","0","14","4","13","249","146"
"礜","1","石","磷","0","5","29","152","178","85"
"礴","0","石","碼","0","5","8","31","88","185"
"礴","1","薄","薄","0","0","93","22","158","217"
"祛","0","礻","祚","0","4","4","9","88","237"
"祛","1","去","劫","0","5","100","19","140","220"
"秈","0","禾","乘","0","5","5","18","103","219"
"秈","1","山","山","0","0","116","12","117","223"
"秔","0","禾","移","0","5","1","14","112","223"
"秔","1","亢","骯","9","4","96","18","145","223"
"秘","0","禾","種","0","5","14","15","97","236"
"秘","1","必","必","0","0","100","23","148","221"
"秫","0","禾","利","0","5","3","19","112","223"
"秫","1","朮","怵","3","5","104","22","146","220"
"稗","0","禾","禾","0","0","8","18","86","217"
"稗","1","卑","卑","0","0","86","19","165","218"
"稞","0","禾","乘","0","5","8","18","86","217"
"稞","1","果","裹","6","8","86","19","165","218"
"穠","0","禾","乘","0","5","1","20","93","223"
"穠","1","農","噥","3","13","81","15","154","227"
"窣","0","穴","穴","0","0","19","16","206","81"
"窣","1","卒","卒","0","0","19","80","210","167"
"窳","0","穴","帘","0","5","10","29","225","72"
"窳","1","瓜","弧","3","5","2","115","118","122"
"窳","2","瓜","孤","3","5","115","114","124","124"
"窸","0","穴","窘","0","5","22","17","207","77"
"窸","1","悉","悉","0","0","22","88","201","152"
"窿","0","穴","窄","0","5","22","17","207","77"
"窿","1","隆","隆","0","0","29","87","201","152"
"竦","0","立","翌","6","5","9","5","111","195"
"竦","1","束","辣","7","7","90","14","148","233"
"籽","0","米","迷","3","6","6","13","110","227"
"籽","1","子","孕","2","3","113","29","127","210"
"粑","0","米","迷","3","6","6","13","110","227"
"粑","1","巴","肥","6","4","125","33","114","213"
"粕","0","米","迷","3","6","6","13","110","227"
"粕","1","白","迫","3","5","132","17","103","226"
"粘","0","米","迷","3","6","10","18","112","222"
"粘","1","占","占","0","0","122","23","120","211"
"粿","0","米","迷","3","6","6","13","110","227"
"粿","1","果","裹","6","8","111","20","127","226"
"糌","0","米","迷","3","6","8","11","93","227"
"糌","1","昝","偺","2","9","89","11","147","226"
"糗","0","米","迷","3","6","8","16","93","227"
"糗","1","臭","嗅","3","10","94","21","147","226"
"糝","0","米","迷","3","6","5","19","97","226"
"糝","1","參","參","0","0","90","21","158","223"
"糨","0","米","迷","3","6","8","11","93","227"
"糨","1","強","強","0","0","101","21","147","226"
"糰","0","米","迷","3","6","8","19","93","227"
"糰","1","團","團","0","0","100","24","136","226"
"糴","0","入","全","0","2","21","11","106","75"
"糴","1","米","粉","0","6","20","80","101","157"
"糴","2","翟","翟","0","0","110","20","120","214"
"糶","0","出","茁","3","5","29","8","78","94"
"糶","1","米","迷","3","6","13","118","98","124"
"糶","2","翟","濯","3","14","116","20","127","223"
"紃","0","糹","結","0","6","14","20","99","218"
"紃","1","川","甽","5","3","104","36","130","207"
"紆","0","糹","結","0","6","19","28","82","206"
"紆","1","于","宇","3","3","98","48","143","187"
"紈","0","糹","紼","0","6","14","20","99","218"
"紈","1","丸","丸","0","0","97","16","130","225"
"紓","0","糹","結","0","6","14","20","99","218"
"紓","1","予","序","3","4","104","29","130","207"
"紬","0","糹","結","0","6","19","28","82","206"
"紬","1","由","妯","3","5","120","22","113","213"
"紱","0","糹","紼","0","6","10","20","99","218"
"紱","1","犮","拔","3","5","100","26","130","207"
"紵","0","糹","結","0","6","6","16","99","218"
"紵","1","宁","佇","2","5","104","14","130","223"
"紺","0","糹","紼","0","6","14","20","99","218"
"紺","1","甘","蚶","6","5","98","29","148","199"
"絛","0","攸","倏","0","7","9","20","234","227"
"絛","1","糸","紊","4","6","86","114","148","132"
"絝","0","糹","紼","0","6","14","20","99","218"
"絝","1","夸","垮","3","6","96","12","155","237"
"絥","0","糹","紼","0","6","1","22","99","218"
"絥","1","伏","伏","0","0","79","17","153","227"
"絪","0","糹","紐","0","6","1","19","99","218"
"絪","1","因","茵","3","6","112","31","118","214"
"絳","0","糹","紼","0","6","7","18","99","218"
"絳","1","夅","降","2","6","100","16","143","214"
"綈","0","糹","結","0","6","19","28","82","206"
"綈","1","弟","涕","3","7","98","29","139","213"
"綌","0","糹","結","0","6","3","20","99","218"
"綌","1","谷","豁","10","7","95","30","153","207"
"綟","0","糹","結","0","6","14","22","79","204"
"綟","1","戾","淚","3","8","84","18","159","222"
"綣","0","糹","終","0","6","14","18","84","218"
"綣","1","卷","捲","3","8","92","20","145","217"
"綬","0","糹","紼","0","6","9","18","99","218"
"綬","1","受","授","3","8","100","19","141","218"
"綹","0","糹","結","0","6","18","24","74","210"
"綹","1","咎","咎","0","0","90","21","147","218"
"緋","0","糹","紼","0","6","9","18","99","218"
"緋","1","非","徘","3","8","100","26","141","218"
"緲","0","糹","紼","0","6","9","18","81","218"
"緲","1","眇","渺","3","9","100","21","148","218"
"緷","0","糹","纖","0","6","9","18","81","218"
"緷","1","軍","渾","3","9","100","17","147","230"
"緹","0","糹","結","0","6","10","15","84","222"
"緹","1","是","提","3","9","83","26","163","212"
"縉","0","糹","結","0","6","17","19","81","218"
"縉","1","晉","晉","0","0","101","25","141","213"
"縋","0","糹","紐","0","6","17","19","81","218"
"縋","1","追","追","0","0","97","20","142","229"
"縌","0","糹","紗","0","6","17","19","81","218"
"縌","1","逆","逆","0","0","89","18","153","226"
"縐","0","糹","纖","0","6","17","19","81","218"
"縐","1","芻","芻","0","0","98","27","140","213"
"縝","0","糹","結","0","6","17","19","81","218"
"縝","1","真","滇","3","10","93","27","156","213"
"縟","0","糹","結","0","6","17","19","81","218"
"縟","1","辱","辱","0","0","93","27","149","213"
"縳","0","糹","結","0","6","17","19","81","218"
"縳","1","專","專","0","0","98","16","151","230"
"縴","0","糹","結","0","6","17","19","81","218"
"縴","1","牽","牽","0","0","93","25","150","224"
"縵","0","糹","結","0","6","8","19","84","222"
"縵","1","曼","漫","3","11","98","20","150","222"
"縹","0","糹","纖","0","6","11","19","81","219"
"縹","1","票","票","0","0","87","29","158","210"
"繎","0","糹","納","0","6","13","19","81","218"
"繎","1","然","然","0","0","101","20","140","221"
"繒","0","糹","纖","0","6","16","26","79","214"
"繒","1","曾","贈","7","12","103","14","133","220"
"繘","0","糹","經","0","6","11","14","81","213"
"繘","1","矞","譎","7","12","87","15","155","221"
"繢","0","糹","結","0","6","30","30","51","205"
"繢","1","貴","貴","0","0","97","23","135","216"
"繯","0","糹","纜","0","6","18","19","76","216"
"繯","1","睘","環","4","13","90","29","156","222"
"繳","0","糹","結","0","6","3","18","81","218"
"繳","1","敫","檄","4","13","81","19","166","221"
"繾","0","糹","結","0","6","2","23","81","218"
"繾","1","遣","遣","0","0","86","34","149","221"
"纍","0","畾","壘","0","15","32","16","197","114"
"纍","1","糸","紊","4","6","12","129","222","117"
"纑","0","糹","紇","0","6","1","12","81","218"
"纑","1","盧","驢","10","16","89","10","149","232"
"纛","0","毒","毒","0","0","25","18","224","108"
"纛","1","縣","縣","0","0","23","128","217","117"
"罋","0","雍","甕","0","13","19","21","230","138"
"罋","1","缶","缶","0","0","27","154","209","85"
"罌","0","賏","嬰","0","14","13","25","222","111"
