"ch","part","comp","whole","idx","len","x","y","w","h"
"唄","0","口","噩","13","3","23","30","54","150"
"唄","1","貝","貳","5","7","84","27","151","215"
"唇","0","辰","辰","0","0","17","22","208","144"
"唇","1","口","噩","13","3","73","172","126","59"
"唏","0","口","噩","13","3","18","31","47","138"
"唏","1","希","希","0","0","62","16","169","231"
"唵","0","口","哀","6","3","20","34","47","148"
"唵","1","奄","俺","2","8","77","15","151","227"
"唼","0","口","噩","13","3","23","38","47","148"
"唼","1","妾","接","3","8","77","19","168","227"
"啁","0","口","噩","13","3","24","24","49","137"
"啁","1","周","週","3","8","81","14","145","227"
"啥","0","口","噩","13","3","16","33","47","148"
"啥","1","舍","舍","0","0","69","16","169","227"
"喑","0","口","噩","13","3","25","45","51","138"
"喑","1","音","意","0","9","80","17","153","216"
"喙","0","口","噩","13","3","19","33","47","148"
"喙","1","彖","緣","6","9","80","18","151","230"
"嗔","0","口","咸","6","3","16","33","47","148"
"嗔","1","真","填","3","10","61","20","186","227"
"嗖","0","口","噩","13","3","26","34","47","148"
"嗖","1","叟","艘","6","10","80","17","162","230"
"嗝","0","口","噩","13","3","16","33","47","148"
"嗝","1","鬲","隔","2","10","95","15","136","227"
"嗶","0","口","咸","6","3","19","27","47","148"
"嗶","1","畢","畢","0","0","69","13","174","227"
"噁","0","口","噩","13","3","16","33","47","148"
"噁","1","惡","惡","0","0","74","27","168","210"
"噌","0","口","噩","13","3","24","34","47","148"
"噌","1","曾","增","3","12","93","14","132","227"
"噶","0","口","噩","13","3","22","28","47","148"
"噶","1","葛","葛","0","0","69","17","175","227"
"噼","0","口","咸","6","3","14","31","47","148"
"噼","1","辟","辟","0","0","66","25","172","218"
"嚙","0","口","噩","13","3","22","32","47","148"
"嚙","1","齒","齣","0","15","79","11","162","236"
"囡","0","囗","回","0","3","25","29","207","202"
"囡","1","女","女","0","0","55","51","148","151"
"囫","0","囗","圈","0","3","27","24","195","221"
"囫","1","勿","勿","0","0","44","44","148","153"
"囷","0","囗","圈","0","3","25","23","197","223"
"囷","1","禾","香","0","5","46","53","141","155"
"囹","0","囗","圈","0","3","27","24","195","221"
"囹","1","令","苓","3","5","44","29","155","173"
"囿","0","囗","圈","0","3","24","21","201","233"
"囿","1","有","有","0","0","37","28","169","179"
"圄","0","囗","園","0","3","29","26","192","223"
"圄","1","吾","吾","0","0","48","56","156","148"
"圇","0","囗","園","0","3","27","24","195","221"
"圇","1","侖","崙","3","8","42","40","155","162"
"圉","0","囗","園","0","3","32","23","184","229"
"圉","1","幸","幸","0","0","48","43","151","166"
"圜","0","囗","圈","0","3","32","24","187","226"
"圜","1","睘","環","4","13","38","44","173","164"
"圮","0","土","去","0","3","10","14","100","195"
"圮","1","己","妃","3","3","119","41","111","209"
"圻","0","土","墜","11","3","1","11","100","183"
"圻","1","斤","折","3","4","87","14","153","230"
"坌","0","分","芬","3","4","28","27","204","127"
"坌","1","土","墜","11","3","26","153","194","74"
"坯","0","土","墜","11","3","14","18","75","197"
"坯","1","丕","呸","3","5","77","36","166","186"
"坳","0","土","墜","11","3","6","5","75","202"
"坳","1","幼","幼","0","0","78","20","157","229"
"堄","0","土","墜","11","3","13","10","75","187"
"堄","1","兒","兒","0","0","79","21","159","213"
"塈","0","既","既","0","0","29","27","208","125"
"塈","1","土","堅","8","3","18","164","212","72"
"墩","0","土","墜","11","3","4","17","75","190"
"墩","1","敦","敦","0","0","68","17","167","228"
"壂","0","殿","臀","0","13","19","21","213","150"
"壂","1","土","去","0","3","19","176","214","63"
"夯","0","大","大","0","0","17","10","223","122"
"夯","1","力","勸","17","2","31","111","178","131"
"妗","0","女","姑","0","3","10","20","89","221"
"妗","1","今","含","0","4","86","5","154","237"
"妲","0","女","女","0","0","10","19","83","215"
"妲","1","旦","旦","0","0","87","30","160","207"
"姝","0","女","女","0","0","1","17","89","227"
"姝","1","朱","殊","4","6","91","31","151","212"
"姤","0","女","女","0","0","7","20","89","221"
"姤","1","后","逅","3","6","108","21","135","223"
"姮","0","女","女","0","0","4","18","89","221"
"姮","1","亘","宣","3","6","92","31","160","207"
"娉","0","女","奶","0","3","18","22","73","211"
"娉","1","甹","聘","6","7","94","12","154","234"
"婕","0","女","女","0","0","1","19","83","216"
"婕","1","疌","睫","5","8","83","10","159","242"
"婺","0","矛","茅","3","5","9","14","122","137"
"婺","1","攵","攻","3","4","122","15","127","130"
"婺","2","女","娑","7","3","12","144","227","103"
"媧","0","女","女","0","0","15","25","76","212"
"媧","1","咼","萵","3","9","112","24","129","226"
"嫋","0","女","女","0","0","10","22","79","212"
"嫋","1","弱","弱","0","0","96","24","141","219"
"嬈","0","女","安","3","3","12","23","71","218"
"嬈","1","堯","燒","4","12","92","25","151","216"
"嬖","0","辟","劈","0","13","12","26","220","124"
"嬖","1","女","姿","6","3","17","148","224","99"
"嬗","0","女","女","0","0","1","26","83","212"
"嬗","1","亶","壇","3","13","87","28","160","213"
"嬡","0","女","女","0","0","1","25","79","212"
"嬡","1","愛","愛","0","0","87","17","154","225"
"孢","0","子","孫","0","3","10","32","98","212"
"孢","1","包","苞","3","5","92","24","135","221"
"孥","0","奴","弩","0","5","16","13","217","107"
"孥","1","子","字","3","3","21","133","212","116"
"孬","0","不","不","0","0","16","19","212","89"
"孬","1","好","好","0","0","16","105","231","137"
"宓","0","宀","宅","0","3","28","19","206","62"
"宓","1","必","祕","4","5","11","83","224","160"
"宕","0","宀","宣","0","3","21","10","215","77"
"宕","1","石","岩","3","5","28","97","200","137"
"寠","0","宀","宅","0","3","15","1","222","58"
"寠","1","婁","婁","0","0","17","44","221","206"
"寰","0","宀","宅","0","3","24","6","215","57"
"寰","1","睘","環","4","13","14","56","223","183"
"尪","0","尢","尷","0","3","9","10","126","228"
"尪","1","王","噩","0","4","114","39","127","138"
"尻","0","尸","屐","0","3","15","25","197","230"
"尻","1","九","軌","7","2","49","85","184","156"
"屣","0","尸","屐","0","3","6","16","208","204"
"屣","1","徙","徙","0","0","47","70","180","169"
"屩","0","尸","展","0","3","1","16","211","225"
"屩","1","彳","屜","3","3","46","77","45","168"
"屩","2","喬","喬","0","0","101","78","118","169"
"屺","0","山","山","0","0","20","26","68","177"
"屺","1","己","記","7","3","108","34","127","220"
"岬","0","山","巖","0","3","20","21","64","197"
"岬","1","甲","胛","6","5","123","21","107","224"
"峋","0","山","山","0","0","28","20","64","197"
"峋","1","旬","荀","3","6","108","13","122","229"
"峒","0","山","巖","0","3","20","21","64","197"
"峒","1","同","同","0","0","115","20","111","224"
"崗","0","山","山","0","0","40","23","171","61"
"崗","1","岡","綱","6","8","29","92","193","146"
"崴","0","山","山","0","0","47","9","166","48"
"崴","1","威","威","0","0","4","64","239","183"
"崽","0","山","山","0","0","45","16","161","57"
"崽","1","思","思","0","0","26","92","210","145"
"嵋","0","山","幽","0","3","20","21","64","197"
"嵋","1","眉","媚","3","9","90","26","150","209"
"嵎","0","山","汕","3","3","20","21","64","197"
"嵎","1","禺","遇","3","9","109","16","126","225"
"嶂","0","山","山","0","0","20","21","64","197"
"嶂","1","章","幛","3","11","98","19","143","234"
"嶗","0","山","山","0","0","20","21","64","197"
"嶗","1","勞","嘮","3","12","100","16","135","225"
"嶙","0","山","山","0","0","20","21","64","197"
"嶙","1","粦","磷","5","12","100","16","135","225"
"嶸","0","山","山","0","0","13","19","64","197"
"嶸","1","榮","榮","0","0","89","12","145","237"
"帙","0","巾","幕","10","3","12","14","71","225"
"帙","1","失","失","0","0","98","15","143","236"
"幄","0","巾","幕","10","3","14","13","71","225"
"幄","1","屋","握","3","9","95","29","147","220"
"幘","0","巾","幕","10","3","17","6","69","237"
"幘","1","責","績","6","11","96","12","142","238"
"幡","0","巾","幕","10","3","18","20","66","212"
"幡","1","番","蕃","3","12","86","17","156","213"
"庋","0","广","床","0","3","7","23","231","222"
"庋","1","支","吱","3","4","57","67","177","170"
"廕","0","广","麻","0","3","10","12","231","222"
"廕","1","陰","蔭","3","11","63","52","177","192"
"廡","0","广","序","0","3","3","12","229","238"
"廡","1","無","蕪","3","12","37","66","202","180"
"廥","0","广","麻","0","3","10","12","231","222"
"廥","1","會","會","0","0","49","41","186","197"
"廩","0","广","唐","0","3","6","13","230","225"
"廩","1","稟","稟","0","0","43","57","190","197"
"彘","0","彑","互","1","3","18","6","224","75"
"彘","1","匕","匕","0","0","37","100","40","121"
"彘","2","矢","矢","0","0","79","96","92","151"
"彘","3","匕","匕","0","0","187","97","52","142"
"彝","0","彑","互","1","3","30","15","207","60"
"彝","1","米","迷","3","6","20","82","86","88"
"彝","2","糸","紊","4","6","110","84","119","86"
"彝","3","廾","羿","6","3","16","171","218","75"
"徉","0","彳","徒","0","3","4","14","63","233"
"徉","1","羊","翔","0","6","85","18","139","224"
"徜","0","彳","往","0","3","11","18","63","218"
"徜","1","尚","尚","0","0","99","19","131","224"
"徠","0","彳","徒","0","3","11","21","63","218"
"徠","1","來","來","0","0","80","15","158","224"
"徼","0","彳","徒","0","3","7","13","63","218"
"徼","1","敫","激","3","13","73","11","168","233"
"忐","0","上","上","0","0","18","20","217","109"
"忐","1","心","慫","11","4","14","143","221","100"
"忑","0","下","下","0","0","16","30","217","105"
"忑","1","心","慫","11","4","11","143","221","100"
"忒","0","弋","代","2","3","27","7","214","228"
"忒","1","心","慝","10","4","21","116","118","119"
"忡","0","忄","憶","0","3","16","17","74","225"
"忡","1","中","仲","2","4","107","21","127","217"
"忤","0","忄","憎","0","3","13","17","70","225"
"忤","1","午","杵","4","4","84","22","157","218"
"忪","0","忄","悄","0","3","12","18","70","225"
